Department  ,Division,Position Title,Employee Status,Initial Hire Date,Date in Position,Fair Labor Standards Act (FLSA) ,Base Salary
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,09/09/2023,09/09/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Programs Manager,Permanent Full-time,10/31/2005,04/08/2023,Exempt,75789.08
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist III,Permanent Full-time,04/08/2005,05/18/2024,Nonexempt,54867.44
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor Sr,Permanent Full-time,10/09/2017,07/05/2022,Exempt,71315.98
Human Services,Hum Svc Juvenile Detention Ctr,Detention Center Supt,Permanent Full-time,07/05/1995,05/04/2024,Exempt,116170.58
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,02/13/1990,05/15/1996,Nonexempt,59470.66
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist Sr,Permanent Full-time,06/21/2004,05/08/2021,Nonexempt,58082.66
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,09/28/2015,09/28/2015,Nonexempt,49173.46
Human Services,Hum Svc Div of Social Services,Family Services Supervisor,Permanent Full-time,01/13/2012,04/25/2020,Exempt,65491.65
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,10/05/2015,10/05/2015,Nonexempt,49173.46
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,10/22/2022,10/22/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist Sr,Permanent Full-time,06/23/2003,10/10/2022,Nonexempt,53287.50
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Supervisor,Permanent Full-time,02/23/2016,07/06/2020,Exempt,58775.94
Human Services,Hum Svc Div of Social Services,Management Analyst III,Special Project w/ Retirement,10/25/2010,05/18/2024,Exempt,57385.00
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist Sr,Permanent Full-time,10/05/2015,10/05/2015,Nonexempt,53432.58
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/23/2017,10/23/2017,Nonexempt,46337.14
Human Services,Hum Svc Juvenile Detention Ctr,Detention Center Asst Supt,Permanent Full-time,01/10/2000,05/04/2024,Exempt,74835.62
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,10/02/2006,08/26/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Human Services Senior Manager,Permanent Full-time,04/08/2002,10/23/2021,Exempt,121275.00
Human Services,Hum Svc Div of Social Services,Fraud Investigator,Permanent Full-time,11/08/1999,07/05/2020,Nonexempt,62686.41
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,04/11/2022,04/11/2022,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,02/27/2017,02/27/2017,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,12/19/2011,08/03/2019,Exempt,59155.51
Human Services,Hum Svc Div of Social Services,Human Services Aide,Intermittent Temporary,05/09/2022,05/09/2022,Nonexempt,18.90
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,03/11/2013,07/05/2022,Exempt,56751.42
Human Services,Hum Svc Juvenile Detention Ctr,Cook,Permanent Full-time,09/13/2021,09/13/2021,Nonexempt,41277.60
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,05/08/2017,05/08/2017,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,07/05/2022,07/03/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Office Assistant,Permanent Full-time,05/23/2003,01/01/2014,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Business Manager,Permanent Full-time,02/27/2021,12/18/2021,Exempt,54353.25
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist I,Permanent Full-time,11/07/2020,02/28/2022,Nonexempt,42398.84
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,08/03/2019,08/03/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Human Services Aide,Permanent Full-time,03/28/2020,03/28/2020,Nonexempt,39312.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,01/23/2015,01/23/2015,Nonexempt,46337.14
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,06/07/2008,08/24/2015,Nonexempt,19.40
Human Services,Hum Svc Div of Social Services,Human Services Operations Mgr,Permanent Full-time,06/24/2013,03/26/2022,Exempt,71905.05
Human Services,Hum Svc Div of Social Services,Family Services Worker III,Permanent Full-time,05/12/2008,05/06/2023,Exempt,55444.45
Human Services,Hum Svc Div of Social Services,Administrative Technician,Permanent Full-time,01/28/2023,01/28/2023,Nonexempt,41828.85
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,08/08/2014,08/08/2014,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Facilities Manager,Permanent Full-time,01/11/2016,01/21/2020,Exempt,54306.60
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/08/1997,04/15/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,07/11/2005,02/25/2013,Exempt,59318.97
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,09/08/2016,09/08/2016,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,02/25/2023,02/25/2023,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,01/19/2021,01/19/2021,Nonexempt,49965.30
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,11/23/2010,05/24/2021,Nonexempt,46336.97
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,06/11/2013,11/04/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Family Services Associate,Permanent Full-time,03/14/2020,03/14/2020,Nonexempt,39837.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/20/2019,07/20/2019,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Supervisor,Permanent Full-time,10/01/2015,03/28/2022,Exempt,63989.66
Human Services,Hum Svc Div of Social Services,Self-Sufficiency Specialist II,Permanent Full-time,12/23/1997,06/06/2022,Nonexempt,46337.14
Human Services,Hum Svc Div of Social Services,Family Services Worker II,Permanent Full-time,05/18/2024,05/18/2024,Nonexempt,56248.80
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,09/03/2019,09/03/2019,Nonexempt,46337.14
Human Services,Hum Svc Juvenile Detention Ctr,Food Service Manager,Permanent Full-time,01/02/2012,01/02/2012,Exempt,52438.81
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/01/2014,10/01/2014,Nonexempt,47263.88
Human Services,Hum Svc Juvenile Detention Ctr,Youth Detention Specialist I,Intermittent Temporary,05/18/2024,05/18/2024,Nonexempt,19.40
Human Services,Hum Svc Div of Social Services,Benefit Programs Supervisor,Permanent Full-time,06/10/2002,01/22/2019,Exempt,60446.95
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/20/2009,08/31/2020,Nonexempt,46336.97
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,08/26/2023,08/26/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist I,Permanent Full-time,08/26/2023,08/26/2023,Nonexempt,40362.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,07/18/2022,07/18/2022,Nonexempt,45013.00
Human Services,Hum Svc Div of Social Services,Benefit Programs Specialist II,Permanent Full-time,10/22/2022,10/22/2022,Nonexempt,45013.00
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,05/22/2021,05/22/2021,Nonexempt,41302.49
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,05/20/2023,12/05/2023,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,02/29/2020,11/09/2020,Nonexempt,41302.49
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,12/19/2007,06/10/2008,Nonexempt,42398.97
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,03/14/2020,11/24/2020,Nonexempt,41302.49
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,06/06/2022,12/06/2022,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,05/20/2023,12/05/2023,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,03/15/2022,03/15/2022,Nonexempt,41303.00
Public Works,PW Waste Management,Refuse Collection Supv,Permanent Full-time,11/19/2007,04/26/2022,Nonexempt,55385.28
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,05/11/2015,11/10/2015,Nonexempt,42398.97
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,05/10/2021,03/01/2022,Nonexempt,40100.00
Public Works,PW Waste Management,Waste Mgmt Auto Mechanic,Permanent Full-time,03/24/2014,11/05/2022,Nonexempt,47365.40
Public Works,PW Waste Management,Storekeeper II,Permanent Full-time,02/15/2022,03/09/2024,Nonexempt,39575.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,08/21/2006,08/21/2006,Nonexempt,42398.97
Public Works,PW Waste Management,Asst Supt of Waste Management,Permanent Full-time,10/03/2017,09/13/2022,Exempt,76650.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,05/07/2007,08/28/2007,Nonexempt,42398.97
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,12/03/2022,12/03/2022,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,08/03/2019,03/12/2024,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector Assistant,Permanent Full-time,09/24/2022,09/24/2022,Nonexempt,39312.00
Public Works,PW Waste Management,Waste Mgmt Auto Mechanic,Permanent Full-time,09/23/2015,09/23/2015,Nonexempt,51293.00
Public Works,PW Waste Management,Refuse Collection Supv,Permanent Full-time,08/28/2006,09/28/2021,Nonexempt,57881.25
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,03/27/2021,03/27/2021,Nonexempt,42398.97
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,05/23/2022,12/06/2022,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,05/23/2022,12/06/2022,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,11/12/2004,11/12/2004,Nonexempt,42398.97
Public Works,PW Waste Management,Supt of Waste Mgmt,Permanent Full-time,10/23/2006,03/31/2018,Exempt,116845.62
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,10/15/2018,08/01/2020,Nonexempt,41302.49
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,05/08/2021,02/15/2022,Nonexempt,41303.00
Public Works,PW Waste Management,"Refuse Collector, Lead",Permanent Full-time,05/14/2018,05/18/2024,Nonexempt,48912.00
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,02/29/2020,11/07/2020,Nonexempt,41302.49
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,04/06/2024,04/06/2024,Nonexempt,40362.00
Public Works,PW Waste Management,"Refuse Collector, Lead",Permanent Full-time,05/07/2013,01/18/2022,Nonexempt,50351.18
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,05/20/2023,12/05/2023,Nonexempt,40100.00
Public Works,PW Waste Management,Education Manager,Permanent Full-time,09/15/2011,04/13/2020,Exempt,65863.35
Public Works,PW Waste Management,Refuse Collection Supv,Permanent Full-time,04/17/2017,12/18/2023,Nonexempt,52755.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,01/07/2019,07/22/2019,Nonexempt,41187.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,01/07/2019,02/01/2020,Nonexempt,41187.00
Public Works,PW Waste Management,Refuse Collection Supv,Permanent Full-time,10/23/2012,04/02/2018,Nonexempt,59326.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,07/09/2018,01/08/2019,Nonexempt,42380.10
Public Works,PW Waste Management,Accountant I,Permanent Full-time,08/01/2022,05/22/2023,Nonexempt,46363.91
Public Works,PW Waste Management,Refuse Collector II,Permanent Full-time,03/27/2017,11/24/2020,Nonexempt,41302.49
Public Works,PW Waste Management,Refuse Collection Supv,Permanent Full-time,05/17/2004,05/11/2019,Nonexempt,59824.00
Public Works,PW Waste Management,Administrative Assistant I,Permanent Full-time,05/08/2021,05/08/2021,Nonexempt,40362.00
Public Works,PW Waste Management,Management Analyst II,Permanent Full-time,02/05/2018,01/06/2020,Exempt,59873.00
Public Works,PW Waste Management,Refuse Collector Assistant,Permanent Full-time,01/27/2024,01/27/2024,Nonexempt,39312.00
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,06/17/2009,06/20/2023,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,05/20/2023,12/05/2023,Nonexempt,40100.00
Public Works,PW Waste Management,Programs Manager,Permanent Full-time,05/13/2013,01/31/2022,Exempt,74906.00
Public Works,PW Waste Management,Refuse Inspector,Permanent Full-time,11/10/2015,03/19/2019,Nonexempt,46337.14
Public Works,PW Waste Management,Asst Supt of Waste Management,Permanent Full-time,04/26/1993,12/18/2000,Exempt,97979.70
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,08/08/2013,08/08/2013,Nonexempt,42398.97
Public Works,PW Waste Management,Refuse Collection Supv,Permanent Full-time,06/20/2017,03/14/2023,Nonexempt,52755.15
Public Works,PW Waste Management,Refuse Collector Assistant,Permanent Full-time,01/27/2024,01/27/2024,Nonexempt,39312.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,06/10/2013,12/09/2013,Nonexempt,42398.97
Public Works,PW Waste Management,"Refuse Collector, Lead",Permanent Full-time,04/17/2017,01/30/2024,Nonexempt,48912.00
Public Works,PW Waste Management,"Refuse Collector, Lead",Permanent Full-time,08/23/2010,04/25/2023,Nonexempt,48912.15
Public Works,PW Waste Management,Administrative Technician,Permanent Full-time,11/29/2006,11/29/2006,Nonexempt,45225.00
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,12/03/2022,12/03/2022,Nonexempt,40100.00
Public Works,PW Waste Management,Public Services Coordinator,Permanent Full-time,01/02/2024,03/09/2024,Exempt,45013.00
Public Works,PW Waste Management,Maintenance Worker I,Permanent Full-time,11/21/2020,11/21/2020,Nonexempt,39312.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,05/11/2015,11/10/2015,Nonexempt,42398.97
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,06/23/2008,10/15/2018,Nonexempt,42380.10
Public Works,PW Waste Management,Refuse Collector I,Permanent Full-time,05/20/2023,12/05/2023,Nonexempt,40100.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,03/08/2016,07/04/2023,Nonexempt,41187.00
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,05/06/2013,09/14/2019,Nonexempt,49871.48
Public Works,PW Waste Management,Refuse Inspector,Permanent Full-time,01/17/2022,04/09/2024,Nonexempt,45013.00
Public Works,PW Waste Management,"Refuse Collector, Lead",Permanent Full-time,05/07/2007,05/01/2018,Nonexempt,50350.26
Public Works,PW Waste Management,Refuse Collection Supv,Permanent Full-time,08/16/2022,03/09/2024,Nonexempt,52755.00
Public Works,PW Waste Management,Account Representative,Permanent Full-time,11/19/2022,11/19/2022,Nonexempt,41828.85
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,11/21/2020,02/24/2024,Nonexempt,41187.00
Public Works,PW Waste Management,Fleet Coordinator,Permanent Full-time,03/13/1995,07/08/2013,Exempt,65552.68
Public Works,PW Waste Management,Refuse Collector III,Permanent Full-time,05/29/2001,05/29/2001,Nonexempt,44553.04
